t,x,y,heading,turret_yaw,pitch,target_x,target_y,target_z
4.4600,5.0000,-3.3800,3.1416,2.3364,0.3338,0.0000,0.0000,1.8300
4.4800,5.0000,-3.4400,3.1416,2.3304,0.3320,0.0000,0.0000,1.8300
4.5000,5.0000,-3.5000,3.1416,2.3244,0.3301,0.0000,0.0000,1.8300
4.5200,5.0000,-3.5600,3.1416,2.3186,0.3283,0.0000,0.0000,1.8300
4.5400,5.0000,-3.6200,3.1416,2.3128,0.3265,0.0000,0.0000,1.8300
4.5600,5.0000,-3.6800,3.1416,2.3071,0.3246,0.0000,0.0000,1.8300
4.5800,5.0000,-3.7400,3.1416,2.3015,0.3228,0.0000,0.0000,1.8300
4.6000,5.0000,-3.8000,3.1416,2.2959,0.3210,0.0000,0.0000,1.8300
4.6200,5.0000,-3.8600,3.1416,2.2905,0.3192,0.0000,0.0000,1.8300
4.6400,5.0000,-3.9200,3.1416,2.2851,0.3174,0.0000,0.0000,1.8300
4.6600,5.0000,-3.9800,3.1416,2.2798,0.3156,0.0000,0.0000,1.8300
4.6800,5.0000,-4.0400,3.1416,2.2745,0.3139,0.0000,0.0000,1.8300
4.7000,5.0000,-4.1000,3.1416,2.2693,0.3121,0.0000,0.0000,1.8300
4.7200,5.0000,-4.1600,3.1416,2.2642,0.3104,0.0000,0.0000,1.8300
4.7400,5.0000,-4.2200,3.1416,2.2591,0.3087,0.0000,0.0000,1.8300
4.7600,5.0000,-4.2800,3.1416,2.2541,0.3069,0.0000,0.0000,1.8300
4.7800,5.0000,-4.3400,3.1416,2.2492,0.3052,0.0000,0.0000,1.8300
4.8000,5.0000,-4.4000,3.1416,2.2444,0.3035,0.0000,0.0000,1.8300
4.8200,5.0000,-4.4600,3.1416,2.2396,0.3018,0.0000,0.0000,1.8300
4.8400,5.0000,-4.5200,3.1416,2.2348,0.3001,0.0000,0.0000,1.8300
4.8600,5.0000,-4.5800,3.1416,2.2301,0.2985,0.0000,0.0000,1.8300
4.8800,5.0000,-4.6400,3.1416,2.2255,0.2968,0.0000,0.0000,1.8300
4.9000,5.0000,-4.7000,3.1416,2.2210,0.2951,0.0000,0.0000,1.8300
4.9200,5.0000,-4.7600,3.1416,2.2165,0.2935,0.0000,0.0000,1.8300
4.9400,5.0000,-4.8200,3.1416,2.2120,0.2919,0.0000,0.0000,1.8300
4.9600,5.0000,-4.8800,3.1416,2.2076,0.2902,0.0000,0.0000,1.8300
4.9800,5.0000,-4.9400,3.1416,2.2033,0.2886,0.0000,0.0000,1.8300
5.0000,5.0000,-5.0000,3.1416,2.1990,0.2870,0.0000,0.0000,1.8300
5.0200,5.0000,-5.0600,3.1416,2.1948,0.2854,0.0000,0.0000,1.8300
5.0400,5.0000,-5.1200,3.1416,2.1906,0.2838,0.0000,0.0000,1.8300
5.0600,5.0000,-5.1800,3.1416,2.1865,0.2822,0.0000,0.0000,1.8300
5.0800,5.0000,-5.2400,3.1416,2.1824,0.2807,0.0000,0.0000,1.8300
5.1000,5.0000,-5.3000,3.1416,2.1784,0.2792,0.0000,0.0000,1.8300
5.1200,5.0000,-5.3600,3.1416,2.1744,0.2776,0.0000,0.0000,1.8300
5.1400,5.0000,-5.4200,3.1416,2.1705,0.2761,0.0000,0.0000,1.8300
5.1600,5.0000,-5.4800,3.1416,2.1666,0.2746,0.0000,0.0000,1.8300
5.1800,5.0000,-5.5400,3.1416,2.1628,0.2730,0.0000,0.0000,1.8300
5.2000,5.0000,-5.6000,3.1416,2.1590,0.2715,0.0000,0.0000,1.8300
5.2200,5.0000,-5.6600,3.1416,2.1553,0.2701,0.0000,0.0000,1.8300
5.2400,5.0000,-5.7200,3.1416,2.1516,0.2686,0.0000,0.0000,1.8300
5.2600,5.0000,-5.7800,3.1416,2.1479,0.2671,0.0000,0.0000,1.8300
5.2800,5.0000,-5.8400,3.1416,2.1443,0.2656,0.0000,0.0000,1.8300
5.3000,5.0000,-5.9000,3.1416,2.1407,0.2642,0.0000,0.0000,1.8300
5.3200,5.0000,-5.9600,3.1416,2.1372,0.2628,0.0000,0.0000,1.8300
5.3400,5.0000,-6.0200,3.1416,2.1337,0.2614,0.0000,0.0000,1.8300
