distance_m,v_radial_mps,delta_pitch_rad,delta_rpm,delta_vel_mps,tof_s
5.50000000,-2.50000000,0.10356140,-761.96670532,-2.43208963,0.50148977
5.50000000,-2.00000000,0.07774658,-604.02297974,-1.92795566,0.50096831
5.50000000,-1.50000000,0.05408020,-442.82913208,-1.41344777,0.50047022
5.50000000,-1.00000000,0.03232727,-278.58734131,-0.88921127,0.49998897
5.50000000,-0.50000000,0.01225281,-111.22512817,-0.35501483,0.49948135
5.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50779818
5.50000000,0.50000000,0.00090637,0.08392334,0.00026787,0.53317426
5.50000000,1.00000000,0.00281982,0.10299683,0.00032875,0.55900602
5.50000000,1.50000000,0.00567322,0.10681152,0.00034093,0.58531453
5.50000000,2.00000000,0.00939941,0.12588501,0.00040181,0.61212008
5.50000000,2.50000000,0.01393127,0.16021729,0.00051139,0.63944445
5.50000000,3.00000000,0.01926880,0.19454956,0.00062097,0.66734210
5.75000000,-3.00000000,0.11114807,-810.30273438,-2.58637138,0.50162105
5.75000000,-2.50000000,0.08341980,-645.92361450,-2.06169654,0.50112823
5.75000000,-2.00000000,0.05807495,-477.57720947,-1.52435870,0.50059600
5.75000000,-1.50000000,0.03487854,-305.74798584,-0.97590420,0.50007026
5.75000000,-1.00000000,0.01356201,-130.41305542,-0.41625997,0.49951167
5.75000000,-0.50000000,-0.00090637,-0.11825562,-0.00037746,0.50616271
5.75000000,0.00000000,0.00000000,0.00000000,0.00000000,0.53276400
5.75000000,0.50000000,0.00201416,-0.01144409,-0.00003653,0.55987239
5.75000000,1.00000000,0.00510254,-0.23269653,-0.00074273,0.58754927
5.75000000,1.50000000,0.00906372,-0.01907349,-0.00006088,0.61568724
5.75000000,2.00000000,0.01399841,-0.17547607,-0.00056009,0.64449417
5.75000000,2.50000000,0.01973877,-0.04577637,-0.00014611,0.67386614
5.75000000,3.00000000,0.02635193,-0.18310547,-0.00058445,0.70397534
6.00000000,-3.00000000,0.09090576,-703.49121094,-2.24544415,0.50130388
6.00000000,-2.50000000,0.06354675,-528.24783325,-1.68609214,0.50072692
6.00000000,-2.00000000,0.03867188,-349.38049316,-1.11517297,0.50020775
6.00000000,-1.50000000,0.01591187,-166.54586792,-0.53159078,0.49963808
6.00000000,-1.00000000,-0.00281982,-0.04577637,-0.00014611,0.50203148
6.00000000,-0.50000000,-0.00201416,-0.10681152,-0.00034093,0.52986568
6.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.55821088
6.00000000,0.50000000,0.00315552,0.01525879,0.00004870,0.58714067
6.00000000,1.00000000,0.00735168,-0.00381470,-0.00001218,0.61667601
6.00000000,1.50000000,0.01255493,-0.08392334,-0.00026787,0.64687587
6.00000000,2.00000000,0.01866455,0.08773804,0.00028005,0.67771932
6.00000000,2.50000000,0.02571411,0.07247925,0.00023134,0.70935600
6.00000000,3.00000000,0.03367004,0.01525879,0.00004870,0.74182743
6.25000000,-3.00000000,0.07096558,-595.94345093,-1.90216695,0.50096911
6.25000000,-2.50000000,0.04400940,-409.90066528,-1.30834477,0.50036543
6.25000000,-2.00000000,0.01953735,-219.91348267,-0.70193264,0.49979388
6.25000000,-1.50000000,-0.00278625,-25.95520020,-0.08284532,0.49920330
6.25000000,-1.00000000,-0.00503540,-0.08773804,-0.00028005,0.52432541
6.25000000,-0.50000000,-0.00312195,-0.18692017,-0.00059662,0.55391736
6.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.58407436
